AUD_CAD,0,0
AUD_CHF,0,0
AUD_JPY,0,0
AUD_NZD,0,0
AUD_USD,0,0
CAD_CHF,0,0
CAD_JPY,0,0
CHF_JPY,0,0
EUR_AUD,0,0
EUR_CAD,0,0
EUR_CHF,0,0
EUR_CZK,0,0
EUR_DKK,0,0
EUR_GBP,0,0
EUR_HUF,0,0
EUR_JPY,0,0
EUR_NOK,0,0
EUR_NZD,0,0
EUR_PLN,0,0
EUR_SEK,0,0
EUR_TRY,0,0
EUR_USD,1,1
GBP_AUD,0,0
GBP_CAD,0,0
GBP_CHF,0,0
GBP_JPY,0,0
GBP_NZD,0,0
GBP_USD,1,1
NZD_CAD,0,0
NZD_CHF,0,0
NZD_JPY,0,0
NZD_USD,0,0
SGD_JPY,0,0
USD_CAD,0,0
USD_CHF,0,0
USD_CNH,0,0
USD_CZK,0,0
USD_DKK,0,0
USD_HKD,0,0
USD_HUF,0,0
USD_JPY,0,0
USD_MXN,0,0
USD_NOK,0,0
USD_PLN,0,0
USD_SEK,0,0
USD_SGD,0,0
USD_TRY,0,0
USD_THB,0,0
USD_ZAR,0,0
ZAR_JPY,0,0
